Nome prodotto,Macro (lubrificanti / ausiliari per industria),Categoria / Categorie di appartenenza,Sottocategoria / Sottocategorie di appartenenza,Marchio,Descrizione prodotto (facoltativa),Applicazione,Osservazione,Note
HOCUT 795 S4,Fluidi industriali,Emulsionabili e solubili per asportazione truciolo,Emulsionabile,Quaker Houghton,Fluido da taglio solubile Un'emulsione avanzata priva di boro e formaldeide ad alto potere lubrificante.,,,MS|SM SY|CUTTING
HOCUT 795 SC,Fluidi industriali,Emulsionabili e solubili per asportazione truciolo,Emulsionabile,Quaker Houghton,Fluido da taglio solubile Un'emulsione avanzata priva di boro e formaldeide ad alto potere lubrificante.,,,MS|SO OI|CUTTING
HOCUT 795 SW,Fluidi industriali,Emulsionabili e solubili per asportazione truciolo,Emulsionabile,Quaker Houghton,Fluido da taglio solubile Un'emulsione avanzata priva di boro e formaldeide ad alto potere lubrificante.,,,MS|SM SY|CUTTING
HOCUT BIO 25,Fluidi industriali,Emulsionabili e solubili per asportazione truciolo,Emulsionabile,Quaker Houghton,Hocut BIO 25 è un prodotto emulsionabile con elevato potere lubrificante ed è completamente user-friendly. Hocut BIO 25 è consigliato per lavorazioni difficili di un'ampia gamma di leghe ferrose.,,,MS|SM SY|CUTTING
HOCUT BIO 5500,Fluidi industriali,Emulsionabili e solubili per asportazione truciolo,Emulsionabile,Quaker Houghton,Hocut BIO 5500 è un prodotto emulsionabile con elevato potere lubrificante ed è completamente user-friendly. Hocut BIO 5500 è consigliato per lavorazioni difficili di un'ampia gamma di leghe ferrose.,,,MS|SM SY|CUTTING
HOCUT GR 3000,Fluidi industriali,Emulsionabili e solubili per asportazione truciolo,Emulsionabile,Quaker Houghton,Fluido da taglio solubile Un'emulsione avanzata priva di boro e formaldeide ad alto potere lubrificante.,,,MS|ES BA|CUTTING
HOCUT SB 590,Fluidi industriali,Emulsionabili e solubili per asportazione truciolo,Emulsionabile,Quaker Houghton,Fluido da taglio solubile Un'emulsione avanzata priva di boro e formaldeide ad alto potere lubrificante.,,,MS|SM SY|CUTTING
HOT FORM 959,Fluidi industriali,Stampaggio a caldo,Acqua - Bianco,Quaker Houghton,Fluido da stampaggio a caldo solubile in acqua esente grafite,,,FG|NO GR|NON GRAPHITED WATER
HOT FORM HB 985,Fluidi industriali,Stampaggio a caldo,Acqua - Bianco,Quaker Houghton,Fluido da stampaggio a caldo solubile in acqua esente grafite,,,FG|NO GR|NON GRAPHITED WATER
HOUGHTO CLEAN 122,Fluidi industriali,Lavanti,Solubile in acqua,Quaker Houghton,Lavante ad elevate prestazioni solubile in acqua,,,CL|CL AQ|MW PROCESS CLEANERS
HOUGHTO CLEAN 141,Fluidi industriali,Lavanti,Solubile in acqua,Quaker Houghton,Lavante ad elevate prestazioni solubile in acqua,,,CL|CL AQ|MW PROCESS CLEANERS
HOUGHTO CLEAN 142,Fluidi industriali,Lavanti,Solubile in acqua,Quaker Houghton,Lavante ad elevate prestazioni solubile in acqua,,,#N/A
HOUGHTO CLEAN 291,Fluidi industriali,Lavanti,Solubile in acqua,Quaker Houghton,Lavante ad elevate prestazioni solubile in acqua,,,CL|CL AQ|MW PROCESS CLEANERS
HOUGHTO CLEAN 50 HD,Fluidi industriali,Lavanti,Solubile in acqua,Quaker Houghton,Lavante ad elevate prestazioni solubile in acqua,,,CL|CL AQ|MW PROCESS CLEANERS
HOUGHTO CLEAN 501,Fluidi industriali,Lavanti,Base solvente,Quaker Houghton,Lavante base solvente,,,CL|CL SO|MW PROCESS CLEANERS
HOUGHTO CLEAN 502,Fluidi industriali,Lavanti,Base solvente,Quaker Houghton,Lavante base solvente,,,CL|CL SO|MW PROCESS CLEANERS
HOUGHTO CLEAN 538,Fluidi industriali,Lavanti,Base solvente,Quaker Houghton,Lavante base solvente,,,CL|CL SO|MW PROCESS CLEANERS
HOUGHTO CLEAN 583,Fluidi industriali,Lavanti,Base solvente,Quaker Houghton,Lavante base solvente,,,CL|CL SO|MW PROCESS CLEANERS
QH PRESSMAX DC 6569,Fluidi industriali,Deformazione a freddo,Olio Intero,Quaker Houghton,Olio intero per deformazione e stampaggio a freddo,,,#N/A
MAR TEMP 600 EU,Fluidi industriali,Trattamenti termici,Base minerale,Quaker Houghton,Olio da tempra base minerale,Da utilizzare caldo (80 - 120°C),,HT|WA QU|MINERAL OIL BASED
MAR-TEMP 1,Fluidi industriali,Trattamenti termici,Base minerale,Quaker Houghton,Olio da tempra base minerale,Da utilizzare caldo (80 - 120°C),,HT|MA TM|MINERAL OIL BASED
DIE SLICK AH K54,Fluidi industriali,Pressocolata,Distaccante water free,Quaker Houghton,Distaccante ad elevate prestazioni per pressocolata/pressofusione senz'acqua water-free per applicazioni minimali.,,,DC|DF LU|NEAT OIL LUBRICANTS
DIE SLICK AH-K104,Fluidi industriali,Pressocolata,Distaccante water free,Quaker Houghton,Distaccante ad elevate prestazioni per pressocolata/pressofusione senz'acqua water-free per applicazioni minimali.,,,DC|DF LU|NEAT OIL LUBRICANTS
HOUGHTO-CLEAN 120,Fluidi industriali,Lavanti,Solubile in acqua,Quaker Houghton,Lavante ad elevate prestazioni solubile in acqua,,,CL|CL AQ|MW PROCESS CLEANERS
HOUGHTO-CLEAN 121,Fluidi industriali,Lavanti,Solubile in acqua,Quaker Houghton,Lavante ad elevate prestazioni solubile in acqua,,,CL|CL AQ|MW PROCESS CLEANERS
HOUGHTO-CLEAN 128,Fluidi industriali,Lavanti,Solubile in acqua,Quaker Houghton,Lavante ad elevate prestazioni solubile in acqua,,,CL|CL AQ|MW PROCESS CLEANERS
HOUGHTO-CLEAN 130,Fluidi industriali,Lavanti,Solubile in acqua,Quaker Houghton,Lavante ad elevate prestazioni solubile in acqua,,,CL|CL AQ|MW PROCESS CLEANERS
HOUGHTO-CLEAN 130 AL,Fluidi industriali,Lavanti,Solubile in acqua,Quaker Houghton,Lavante ad elevate prestazioni solubile in acqua,,,CL|CL AQ|MW PROCESS CLEANERS
HOUGHTO-CLEAN 130 BF,Fluidi industriali,Lavanti,Solubile in acqua,Quaker Houghton,Lavante ad elevate prestazioni solubile in acqua,,,CL|CL AQ|MW PROCESS CLEANERS
HOUGHTO-CLEAN 131,Fluidi industriali,Lavanti,Solubile in acqua,Quaker Houghton,Lavante ad elevate prestazioni solubile in acqua,,,CL|CL AQ|MW PROCESS CLEANERS
HOUGHTO-CLEAN 134,Fluidi industriali,Lavanti,Solubile in acqua,Quaker Houghton,Lavante ad elevate prestazioni solubile in acqua,,,CL|CL AQ|MW PROCESS CLEANERS
HOUGHTO-CLEAN 137,Fluidi industriali,Lavanti,Solubile in acqua,Quaker Houghton,Lavante ad elevate prestazioni solubile in acqua,,,CL|CL AQ|MW PROCESS CLEANERS
HOUGHTO-CLEAN 138,Fluidi industriali,Lavanti,Solubile in acqua,Quaker Houghton,Lavante ad elevate prestazioni solubile in acqua,,,CL|CL AQ|MW PROCESS CLEANERS
HOUGHTO-CLEAN 138 AT,Fluidi industriali,Lavanti,Solubile in acqua,Quaker Houghton,Lavante ad elevate prestazioni solubile in acqua,,,CL|CL AQ|MW PROCESS CLEANERS
HOUGHTO-CLEAN 139,Fluidi industriali,Lavanti,Solubile in acqua,Quaker Houghton,Lavante ad elevate prestazioni solubile in acqua,,,CL|CL AQ|MW PROCESS CLEANERS
HOUGHTO-CLEAN 143,Fluidi industriali,Lavanti,Solubile in acqua,Quaker Houghton,Lavante ad elevate prestazioni solubile in acqua,,,CL|CL AQ|MW PROCESS CLEANERS
HOUGHTO-CLEAN 144,Fluidi industriali,Lavanti,Solubile in acqua,Quaker Houghton,Lavante ad elevate prestazioni solubile in acqua,,,CL|CL AQ|MW PROCESS CLEANERS
HOUGHTO-CLEAN 147,Fluidi industriali,Lavanti,Solubile in acqua,Quaker Houghton,Lavante ad elevate prestazioni solubile in acqua,,,CL|CL AQ|MW PROCESS CLEANERS
HOUGHTO-CLEAN 148,Fluidi industriali,Lavanti,Solubile in acqua,Quaker Houghton,Lavante ad elevate prestazioni solubile in acqua,,,CL|CL AQ|MW PROCESS CLEANERS
HOUGHTO-CLEAN 149,Fluidi industriali,Lavanti,Solubile in acqua,Quaker Houghton,Lavante ad elevate prestazioni solubile in acqua,,,CL|CL AQ|MW PROCESS CLEANERS
HOUGHTO-CLEAN 152,Fluidi industriali,Lavanti,Solubile in acqua,Quaker Houghton,Lavante ad elevate prestazioni solubile in acqua,,,CL|CL AQ|MW PROCESS CLEANERS
HOUGHTO-CLEAN 153 T,Fluidi industriali,Lavanti,Solubile in acqua,Quaker Houghton,Lavante ad elevate prestazioni solubile in acqua,,,CL|CL AQ|MW PROCESS CLEANERS
HOUGHTO-CLEAN 260,Fluidi industriali,Lavanti,Base solvente,Quaker Houghton,Lavante base solvente,,,CL|CL SO|MW PROCESS CLEANERS
HOUGHTO-CLEAN 261,Fluidi industriali,Lavanti,Solubile in acqua,Quaker Houghton,Lavante ad elevate prestazioni solubile in acqua,,,CL|CL AQ|MW PROCESS CLEANERS
HOUGHTO-CLEAN 264,Fluidi industriali,Lavanti,Solubile in acqua,Quaker Houghton,Lavante ad elevate prestazioni solubile in acqua,,,CL|CL AQ|MW PROCESS CLEANERS
HOUGHTO-CLEAN 292,Fluidi industriali,Lavanti,Solubile in acqua,Quaker Houghton,Lavante ad elevate prestazioni solubile in acqua,,,CL|CL AQ|MW PROCESS CLEANERS
HOUGHTO-CLEAN 295,Fluidi industriali,Lavanti,Solubile in acqua,Quaker Houghton,Lavante ad elevate prestazioni solubile in acqua,,,CL|CL AQ|MW PROCESS CLEANERS
HOUGHTO-CLEAN 400,Fluidi industriali,Lavanti,Solubile in acqua,Quaker Houghton,Lavante ad elevate prestazioni solubile in acqua,,,CL|CL AQ|MW PROCESS CLEANERS
HOUGHTO-CLEAN 503,Fluidi industriali,Lavanti,Base solvente,Quaker Houghton,Lavante base solvente,,,CL|CL SO|MW PROCESS CLEANERS
HOUGHTO-CLEAN 504,Fluidi industriali,Lavanti,Base solvente,Quaker Houghton,Lavante base solvente,,,CL|CL SO|MW PROCESS CLEANERS
HOUGHTO-CLEAN 505,Fluidi industriali,Lavanti,Base solvente,Quaker Houghton,Lavante base solvente,,,CL|CL SO|MW PROCESS CLEANERS
HOUGHTO-CLEAN 506,Fluidi industriali,Lavanti,Base solvente,Quaker Houghton,Lavante base solvente,,,CL|CL SO|MW PROCESS CLEANERS
HOUGHTO-CLEAN 508,Fluidi industriali,Lavanti,Base solvente,Quaker Houghton,Lavante base solvente,,,CL|CL SO|MW PROCESS CLEANERS
HOUGHTO-CLEAN 510,Fluidi industriali,Lavanti,Base solvente,Quaker Houghton,Lavante base solvente,,,CL|CL SO|MW PROCESS CLEANERS
HOUGHTO-CLEAN 530,Fluidi industriali,Lavanti,Base solvente,Quaker Houghton,Lavante base solvente,,,CL|CL SO|MW PROCESS CLEANERS
HOUGHTO-CLEAN 538,Fluidi industriali,Lavanti,Base solvente,Quaker Houghton,Lavante base solvente,,,CL|CL SO|MW PROCESS CLEANERS
HOUGHTO-CLEAN 601,Fluidi industriali,Lavanti,Solubile in acqua,Quaker Houghton,Lavante ad elevate prestazioni solubile in acqua,,,CL|CL AQ|MW PROCESS CLEANERS
HOUGHTO-CLEAN 645,Fluidi industriali,Lavanti,Base solvente,Quaker Houghton,Lavante base solvente,,,CL|CL SO|MW PROCESS CLEANERS
HOUGHTO-CLEAN 645S,Fluidi industriali,Lavanti,Solubile in acqua,Quaker Houghton,Lavante ad elevate prestazioni solubile in acqua,,,CL|CL AQ|MW PROCESS CLEANERS
HOUGHTO-CLEAN 688,Fluidi industriali,Lavanti,Solubile in acqua,Quaker Houghton,Lavante ad elevate prestazioni solubile in acqua,,,CL|CL AQ|MW PROCESS CLEANERS
HOUGHTO-CLEAN 9638,Fluidi industriali,Lavanti,Base solvente,Quaker Houghton,Lavante base solvente,,,CL|CL SO|MW PROCESS CLEANERS
HOUGHTO-CLEAN 9770,Fluidi industriali,Lavanti,Base solvente,Quaker Houghton,Lavante base solvente,,,CL|CL SO|MW PROCESS CLEANERS
HOUGHTO-CLEAN PLUS 280,Fluidi industriali,Lavanti,Solubile in acqua,Quaker Houghton,Lavante ad elevate prestazioni solubile in acqua,,,CL|CL AQ|MW PROCESS CLEANERS
QH PRESSMAX DC 6668,Fluidi industriali,Deformazione a freddo,Olio Intero,Quaker Houghton,Olio intero per deformazione e stampaggio a freddo,,,FM|DR IR|MINERAL OIL BASED
QH PRESSMAX DC 6669,Fluidi industriali,Deformazione a freddo,Olio Intero,Quaker Houghton,Olio intero per deformazione e stampaggio a freddo,,,FM|DR IR|MINERAL OIL BASED
QH PRESSMAX DN 2483,Fluidi industriali,Deformazione a freddo,Olio Intero,Quaker Houghton,Olio intero per deformazione e stampaggio a freddo,,,FM|CD EX|MINERAL OIL BASED
QH PRESSMAX DN 3383,Fluidi industriali,Deformazione a freddo,Olio Intero,Quaker Houghton,Olio intero per deformazione e stampaggio a freddo,,,FM|DR IR|MINERAL OIL BASED
QH PRESSMAX DN 5380,Fluidi industriali,Deformazione a freddo,Olio Intero,Quaker Houghton,Olio intero per deformazione e stampaggio a freddo,,,FM|DR IR|MINERAL OIL BASED
QH PRESSMAX DN 5583,Fluidi industriali,Deformazione a freddo,Olio Intero,Quaker Houghton,Olio intero per deformazione e stampaggio a freddo,,,FM|CD EX|MINERAL OIL BASED
QH PRESSMAX DN 6480,Fluidi industriali,Deformazione a freddo,Olio Intero,Quaker Houghton,Olio intero per deformazione e stampaggio a freddo,,,FM|DR IR|MINERAL OIL BASED
QH PRESSMAX DN 6580,Fluidi industriali,Deformazione a freddo,Olio Intero,Quaker Houghton,Olio intero per deformazione e stampaggio a freddo,,,FM|CD EX|MINERAL OIL BASED
Tube Lubricant CR 51 H,Fluidi industriali,Deformazione a freddo,Olio Intero,Quaker Houghton,Olio clorurato per stampaggio a freddo,,,#N/A
HOUGHTON FORGENT GF,Fluidi industriali,Stampaggio a caldo,Acqua - Bianco,Quaker Houghton,Fluido da stampaggio a caldo solubile in acqua esente grafite,,,FG|NO GR|NON GRAPHITED WATER
MAR-TEMP 195,Fluidi industriali,Trattamenti termici,Base minerale,Quaker Houghton,Olio da tempra base minerale,Da utilizzare caldo (80 - 120°C),,HT|WA QU|MINERAL OIL BASED
MAR-TEMP 195 AR,Fluidi industriali,Trattamenti termici,Base minerale,Quaker Houghton,Olio da tempra base minerale,Da utilizzare caldo (80 - 120°C),,HT|WA QU|MINERAL OIL BASED
MAR-TEMP 2,Fluidi industriali,Trattamenti termici,Base minerale,Quaker Houghton,Olio da tempra base minerale,Da utilizzare caldo (80 - 120°C),,HT|MA TM|MINERAL OIL BASED
MAR-TEMP 890 BH,Fluidi industriali,Trattamenti termici,Base minerale,Quaker Houghton,Olio da tempra base minerale,Da utilizzare caldo (80 - 120°C),,HT|MA TM|MINERAL OIL BASED
MAR-TEMP H 341,Fluidi industriali,Trattamenti termici,Base minerale,Quaker Houghton,Olio da tempra base minerale,Da utilizzare caldo (120 - 180°C),,HT|MA TM|MINERAL OIL BASED
MAR-TEMP H 343,Fluidi industriali,Trattamenti termici,Base minerale,Quaker Houghton,Olio da tempra base minerale,Da utilizzare caldo (120 - 180°C),,HT|MA TM|MINERAL OIL BASED
MAR-TEMP H3533,Fluidi industriali,Trattamenti termici,Base minerale,Quaker Houghton,Olio da tempra base minerale,Da utilizzare caldo (120 - 180°C),,HT|MA TM|MINERAL OIL BASED
MAR-TEMP M 200,Fluidi industriali,Trattamenti termici,Base minerale,Quaker Houghton,Olio da tempra base minerale,Da utilizzare caldo (80 - 120°C),,HT|WA QU|MINERAL OIL BASED
MAR-TEMP M 222,Fluidi industriali,Trattamenti termici,Base minerale,Quaker Houghton,Olio da tempra base minerale,Da utilizzare caldo (80 - 120°C),,HT|WA QU|MINERAL OIL BASED
MAR-TEMP M 230,Fluidi industriali,Trattamenti termici,Base minerale,Quaker Houghton,Olio da tempra base minerale,Da utilizzare caldo (80 - 120°C),,HT|WA QU|MINERAL OIL BASED
MAR-TEMP M 240,Fluidi industriali,Trattamenti termici,Base minerale,Quaker Houghton,Olio da tempra base minerale,Da utilizzare caldo (80 - 120°C),,#N/A
MAR-TEMP OIL H 340,Fluidi industriali,Trattamenti termici,Base minerale,Quaker Houghton,Olio da tempra base minerale,Da utilizzare caldo (120 - 180°C),,HT|MA TM|MINERAL OIL BASED
MAR-TEMP OIL M 220,Fluidi industriali,Trattamenti termici,Base minerale,Quaker Houghton,Olio da tempra base minerale,Da utilizzare caldo (80 - 120°C),,HT|WA QU|MINERAL OIL BASED
MAR-TEMP OIL M 240,Fluidi industriali,Trattamenti termici,Base minerale,Quaker Houghton,Olio da tempra base minerale,Da utilizzare caldo (80 - 120°C),,HT|WA QU|MINERAL OIL BASED
MAR-TEMP VH 300,Fluidi industriali,Trattamenti termici,Base minerale,Quaker Houghton,Olio da tempra base minerale,Da utilizzare molto caldo (180 - 250°C),,HT|MA TM|MINERAL OIL BASED
MAR-TEMP VH 320,Fluidi industriali,Trattamenti termici,Base minerale,Quaker Houghton,Olio da tempra base minerale,Da utilizzare molto caldo (180 - 250°C),,HT|MA TM|MINERAL OIL BASED
VACU-QUENCH 600,Fluidi industriali,Trattamenti termici,Base minerale,Quaker Houghton,Olio da tempra base minerale per applicazioni in vuoto,,,HT|CD QU|MINERAL OIL BASED
HOUGHTO-QUENCH C 1203,Fluidi industriali,Trattamenti termici,Base minerale raffinata,Quaker Houghton,Olio da tempra base minerale altamente raffinata,Da utilizzare a freddo (20 - 80°C),,HT|CD QU|SYNTHETIC OIL BASED
HOUGHTO-QUENCH C 1304,Fluidi industriali,Trattamenti termici,Base minerale raffinata,Quaker Houghton,Olio da tempra base minerale altamente raffinata,Da utilizzare a freddo (20 - 80°C),,#N/A
HOUGHTO-QUENCH C 1643,Fluidi industriali,Trattamenti termici,Base minerale raffinata,Quaker Houghton,Olio da tempra base minerale altamente raffinata,Da utilizzare a freddo (20 - 80°C),,HT|CD QU|SYNTHETIC OIL BASED
DIE SLICK ZN 16014 G,Fluidi industriali,Pressocolata,Distaccante water free,Quaker Houghton,Distaccante ad elevate prestazioni per pressocolata/pressofusione di leghe di zinco da diluire in acqua.,,,#N/A
MACRON 2405 M-4,Fluidi industriali,Oli interi per asportazione truciolo,Base minerale,Quaker Houghton,"Macron 2405 M-4 è un olio da taglio intero, esente cloro, formulato con basi minerali severamente raffinate, speciali additivi EP, antiusura ed untuosanti. Specifico per operazioni di lappatura e levigatura. Macron 2405 M-4 è specifico per operazioni di lappatura e levigatura con esigenze di alta finitura come ad esempio nel settore della produzione di cuscinetti. Particolarmente idoneo per operazioni di lappatura sfere, la speciale composizione consente una rapida decantazione del polverino metallico e dei residui degli utensili abrasivi.",,,MN|MO BA|HONING
MACRON 3401 F-5,Fluidi industriali,Oli interi per asportazione truciolo,Base minerale,Quaker Houghton,"Macron 3401 F-5 è un olio da taglio intero, esente cloro, formulato con basi minerali severamente raffinate, speciali additivi EP, antiusura ed untuosanti. Specifico per operazioni di lappatura e levigatura. Macron 3401 F-5 è specifico per operazioni di lappatura e levigatura con esigenze di alta finitura su acciai fortemente legati e ghise. La speciale formulazione EP consente elevata capacità di raffreddamento e rapida decantazione del polverino metallico e dei residui della mola.",,,MN|MO BA|HONING
MACRON 3801 CF-15,Fluidi industriali,Oli interi per asportazione truciolo,Base minerale,Quaker Houghton,"Macron 3801 CF-15 è  specifico per operazioni  severe di  bocciatura su acciai ad alto resistenziale, inox, leghe di alluminio e leghe gialle.   ",,,MN|MO BA|CUTTING
MACRON 400 M-22,Fluidi industriali,Oli interi per asportazione truciolo,Base minerale,Quaker Houghton,"Macron 400 M- serie, sono oli da taglio interi multifunzionali idonei per operazioni combinate di asportazione truciolo e lubrificazione delle macchine utensili, sono conformi alle specifiche HLP DIN 51 524-2 e CLP DIN 51517-3. Macron 400 M- serie, sono oli multifunzionali ad alte performances,specifici per operazioni di asportazione truciolo su acciai mediamente legati, leghe di alluminio e leghe gialle. La serie Macron 400 M- è conforme alle specifiche per oli idraulici HLP DIN 51 524-2 e CLP DIN 51517-3 per oli ingranaggi. La speciale additivazione fornisce una facile diseareazione e li rende compatibili con tutti i materiali e vernici normalmente utilizzate in abbinamento agli oli minerali.",,,MN|MO BA|CUTTING
MACRON 400 M-32,Fluidi industriali,Oli interi per asportazione truciolo,Base minerale,Quaker Houghton,"Macron 400 M- serie, sono oli da taglio interi multifunzionali idonei per operazioni combinate di asportazione truciolo e lubrificazione delle macchine utensili, sono conformi alle specifiche HLP DIN 51 524-2 e CLP DIN 51517-3. Macron 400 M- serie, sono oli multifunzionali ad alte performances,specifici per operazioni di asportazione truciolo su acciai mediamente legati, leghe di alluminio e leghe gialle. La serie Macron 400 M- è conforme alle specifiche per oli idraulici HLP DIN 51 524-2 e CLP DIN 51517-3 per oli ingranaggi. La speciale additivazione fornisce una facile diseareazione e li rende compatibili con tutti i materiali e vernici normalmente utilizzate in abbinamento agli oli minerali.",,,MN|MO BA|CUTTING
MACRON 400 M-46,Fluidi industriali,Oli interi per asportazione truciolo,Base minerale,Quaker Houghton,"Macron 400 M- serie, sono oli da taglio interi multifunzionali idonei per operazioni combinate di asportazione truciolo e lubrificazione delle macchine utensili, sono conformi alle specifiche HLP DIN 51 524-2 e CLP DIN 51517-3. Macron 400 M- serie, sono oli multifunzionali ad alte performances,specifici per operazioni di asportazione truciolo su acciai mediamente legati, leghe di alluminio e leghe gialle. La serie Macron 400 M- è conforme alle specifiche per oli idraulici HLP DIN 51 524-2 e CLP DIN 51517-3 per oli ingranaggi. La speciale additivazione fornisce una facile diseareazione e li rende compatibili con tutti i materiali e vernici normalmente utilizzate in abbinamento agli oli minerali.",,,MN|MO BA|OTHER METAL REMOVAL
MACRON 401 F-22,Fluidi industriali,Oli interi per asportazione truciolo,Base minerale,Quaker Houghton,"Macron 401 F-22 è a base di olio minerale idrotrattato a basso contenuto aromatico. Una combinazione di additivi polari, per pressioni estreme e antiusura conferisce all'olio elevate proprietà di carico. L'olio fornisce una buona finitura superficiale dei pezzi lavorati. Macron 401 F-22 è esente da Cloro, Zolfo attivo e metalli pesanti (Zinco).",,,MN|MO BA|CUTTING
MACRON 402 M-22,Fluidi industriali,Oli interi per asportazione truciolo,Base minerale,Quaker Houghton,"Macron 402 M-22 è a base di olio minerale idrotrattato a basso contenuto aromatico. Una combinazione di additivi polari, per pressioni estreme e antiusura conferisce all'olio elevate proprietà di carico. L'olio fornisce una buona finitura superficiale dei pezzi lavorati. Macron 402 M-22 è esente da Cloro, Zolfo attivo e metalli pesanti (Zinco).",,,MN|MO BA|CUTTING
MACRON 410 M-32,Fluidi industriali,Oli interi per asportazione truciolo,Base minerale,Quaker Houghton,"Macron 410 M-32 è a base di olio minerale idrotrattato a basso contenuto aromatico. Una combinazione di additivi polari, per pressioni estreme e antiusura conferisce all'olio elevate proprietà di carico. L'olio fornisce una buona finitura superficiale dei pezzi lavorati. Macron 410 M-32 è esente da Cloro, Zolfo attivo e metalli pesanti (Zinco).",,,MN|MO BA|CUTTING
MACRON 600 M-16,Fluidi industriali,Oli interi per asportazione truciolo,Base minerale,Quaker Houghton,"MACRON® 600 M-16 è a base di olio minerale idrotrattato a basso contenuto di composti aromatici. Una combinazione di additivi polari e antiusura conferisce a questo olio proprietà detergenti e di raffreddamento, consentendo un'ottima condizione superficiale delle parti lavorate. MACRON® 600 M-16 è esente da cloro, zolfo attivo e metalli pesanti (Zn).",,,MN|MO BA|CUTTING
MACRON 620 M-22,Fluidi industriali,Oli interi per asportazione truciolo,Base minerale,Quaker Houghton," Macron 620 serie M sono oli da taglio EP ad alte prestazioni per operazioni su acciai medio-alto legati, alluminio e metalli gialli. La serieMacron 620 M ha caratteristiche di olio multiuso sia per l'olio idraulico HLP DIN 51524-2 che per l'olio per ingranaggi CLP DIN 51517-3. Ha un buon potere disaerante, non fa schiuma e non è aggressivo per le vernici delle macchine utensili.",,,MN|MO BA|CUTTING
MACRON 630 S-9,Fluidi industriali,Oli interi per asportazione truciolo,Base minerale,Quaker Houghton,"Il prodotto MACRON 630 S-9 si basa sulla tecnologia dell'idrocracking di oli idrocarburici a bassissimo contenuto di composti aromatici. La combinazione di additivi polari, additivi per pressioni estreme e additivi antiusura crea un olio con proprietà che consentono carichi elevati. L'olio garantisce una buona superficie finale dei pezzi fabbricati. Il prodotto MACRON 630 S-9 non contiene zinco, cloro e zolfo attivo.",,,MN|MO BA|GRINDING
Natur 701 EP,Fluidi industriali,Oli interi per asportazione truciolo,Base Minerale,Quaker Houghton,Olio minerale per operazioni di taglio ,,,#N/A
NATUR 707 EP,Fluidi industriali,Oli interi per asportazione truciolo,Base Minerale,Quaker Houghton,Olio minerale per operazioni di taglio ,,,#N/A
HOUGHTO-QUENCH C 1804,Fluidi industriali,Trattamenti termici,Base minerale raffinata,Quaker Houghton,Olio da tempra base minerale altamente raffinata,Da utilizzare a freddo (20 - 80°C),,HT|CD QU|SYNTHETIC OIL BASED
MAR-TEMP M 2303,Fluidi industriali,Trattamenti termici,Base minerale raffinata,Quaker Houghton,Olio da tempra base minerale altamente raffinata,Da utilizzare caldo (80 - 120°C),,HT|WA QU|SYNTHETIC OIL BASED
Vacu Quench 420,Fluidi industriali,Trattamenti termici,Base minerale raffinata,Quaker Houghton,Olio da tempra base minerale per applicazioni in vuoto,,,HT|CD QU|SYNTHETIC OIL BASED
VACU-QUENCH 430,Fluidi industriali,Trattamenti termici,Base minerale raffinata,Quaker Houghton,Olio da tempra base minerale per applicazioni in vuoto,,,#N/A
AQUA QUENCH 140,Fluidi industriali,Trattamenti termici,Solubile in acqua,Quaker Houghton,Polimero da tempra base PAG,,,HT|PM QU|PAG
AQUA QUENCH 320,Fluidi industriali,Trattamenti termici,Solubile in acqua,Quaker Houghton,Polimero da tempra base PVP,,,HT|PM QU|PVP
AQUA-QUENCH 110,Fluidi industriali,Trattamenti termici,Solubile in acqua,Quaker Houghton,Polimero da tempra base ACR,,,HT|PM QU|ACRYLATE
AQUA-QUENCH 120,Fluidi industriali,Trattamenti termici,Solubile in acqua,Quaker Houghton,Polimero da tempra base PAG,,,HT|PM QU|PAG
AQUA-QUENCH 140 ES,Fluidi industriali,Trattamenti termici,Solubile in acqua,Quaker Houghton,Polimero da tempra base PAG,,,HT|PM QU|PAG
AQUA-QUENCH 142,Fluidi industriali,Trattamenti termici,Solubile in acqua,Quaker Houghton,Polimero da tempra base PAG,,,HT|PM QU|PAG
AQUA-QUENCH 200,Fluidi industriali,Trattamenti termici,Solubile in acqua,Quaker Houghton,Polimero da tempra base PAG,,,HT|PM QU|PAG
AQUA-QUENCH 220,Fluidi industriali,Trattamenti termici,Solubile in acqua,Quaker Houghton,Polimero da tempra base PAG,,,HT|PM QU|PAG
AQUA-QUENCH 222,Fluidi industriali,Trattamenti termici,Solubile in acqua,Quaker Houghton,Polimero da tempra base PAG,,,HT|PM QU|PAG
AQUA-QUENCH 232,Fluidi industriali,Trattamenti termici,Solubile in acqua,Quaker Houghton,Polimero da tempra base PAG,,,HT|PM QU|PAG
AQUA-QUENCH 250 F,Fluidi industriali,Trattamenti termici,Solubile in acqua,Quaker Houghton,Polimero da tempra base PAG,,,HT|PM QU|PAG
AQUA-QUENCH 251,Fluidi industriali,Trattamenti termici,Solubile in acqua,Quaker Houghton,Polimero da tempra base PAG,,,HT|PM QU|PAG
AQUA-QUENCH 260,Fluidi industriali,Trattamenti termici,Solubile in acqua,Quaker Houghton,Polimero da tempra base PAG,,,HT|PM QU|PAG
AQUA-QUENCH 300,Fluidi industriali,Trattamenti termici,Solubile in acqua,Quaker Houghton,Polimero da tempra base PVP,,,HT|PM QU|PVP
