Nome prodotto,Macro (lubrificanti / ausiliari per industria),Categoria / Categorie di appartenenza,Sottocategoria / Sottocategorie di appartenenza,Marchio,Descrizione prodotto (facoltativa),Applicazione,Osservazione,Note
Rotra MP DB 85W-90 ,Trazione,Lubrificazione,Olio motore,ENI,Olio trasmissione,Cambi manuali,,
Rotra MP/S 80W-90  ,Trazione,Lubrificazione,Olio motore,ENI,Olio trasmissione,Cambi manuali,,
Rotra MULTIGEAR 75W80  ,Trazione,Lubrificazione,Olio motore,ENI,Olio trasmissione,Cambi manuali,,
Rotra MULTIGEAR 75W-80  ,Trazione,Lubrificazione,Olio motore,ENI,Olio trasmissione,Cambi manuali,,
Rotra Truck Gear 75W-140 ,Trazione,Lubrificazione,Olio motore,ENI,Olio trasmissione,Cambi manuali,,
Rotra Truck Gear 80W-90 ,Trazione,Lubrificazione,Olio motore,ENI,Olio trasmissione,Cambi manuali,,
Dicrea 100   ,Fluidi industriali,Lubrificazione,Olio per compressori,ENI,Oli per compressori aria operanti a elevate temperature,,,
Dicrea 150   ,Fluidi industriali,Lubrificazione,Olio per compressori,ENI,Oli per compressori aria operanti a elevate temperature,,,
Dicrea 220   ,Fluidi industriali,Lubrificazione,Olio per compressori,ENI,Oli per compressori aria operanti a elevate temperature,,,
Dicrea 320   ,Fluidi industriali,Lubrificazione,Olio per compressori,ENI,Oli per compressori aria operanti a elevate temperature,,,
Dicrea 46   ,Fluidi industriali,Lubrificazione,Olio per compressori,ENI,Oli per compressori aria operanti a elevate temperature,,,
Dicrea 68   ,Fluidi industriali,Lubrificazione,Olio per compressori,ENI,Oli per compressori aria operanti a elevate temperature,,,
Dicrea ESX   ,Fluidi industriali,Lubrificazione,Olio per compressori,ENI,Eni Dicrea ESX 100 è un lubrificante sintetico a base di estere specificamente studiato per i cilindri dei compressori d’aria alternativi. Eni Dicrea ESX 100 consente di adottare intervalli di sostituzione estesi ed è utilizzabile anche per la lubrificazione dei manovellismi del compressore.,,,
Dicrea SX 32  ,Fluidi industriali,Lubrificazione,Olio per compressori,ENI,Oli a base PAO,,,
Dicrea SX 46  ,Fluidi industriali,Lubrificazione,Olio per compressori,ENI,Oli a base PAO,,,
Dicrea SX 68  ,Fluidi industriali,Lubrificazione,Olio per compressori,ENI,Oli a base PAO,,,
Sic C 150  ,Fluidi industriali,Lubrificazione,Olio per compressori,ENI,Oli minerali per i cilindri dei compressori d’aria e gas molto umidi,,,
Sic C 220  ,Fluidi industriali,Lubrificazione,Olio per compressori,ENI,Oli minerali per i cilindri dei compressori d’aria e gas molto umidi,,,
Betula 46   ,Fluidi industriali,Lubrificazione,Olio per compressori frigoriferi,ENI,Olio per compressori frigoriferi,,,
Betula 68   ,Fluidi industriali,Lubrificazione,Olio per compressori frigoriferi,ENI,Olio per compressori frigoriferi,,,
Betula ESX 32  ,Fluidi industriali,Lubrificazione,Olio per compressori frigoriferi,ENI,Olio per compressori frigoriferi,,,
Betula ESX 68  ,Fluidi industriali,Lubrificazione,Olio per compressori frigoriferi,ENI,Olio per compressori frigoriferi,,,
Betula S 68  ,Fluidi industriali,Lubrificazione,Olio per compressori frigoriferi,ENI,Olio per compressori frigoriferi,,,
